latitude,longitude,heading
40.6255656,-8.7194227,78.1
40.625583653280636,-8.719310262471236,78.1
40.62560170656122,-8.719197824912197,78.1
40.62561975984174,-8.719085387322881,78.1
40.625637813122204,-8.71897294970329,78.1
40.62565586640262,-8.718860512053423,78.1
40.62567391968297,-8.718748074373282,78.1
40.62569197296325,-8.718635636662864,78.1
40.62571002624349,-8.71852319892217,78.1
40.62572807952367,-8.718410761151207,78.1
40.625746132803805,-8.718298323349961,78.1
40.62576418608386,-8.718185885518443,78.1
40.62578223936388,-8.718073447656646,78.1
40.62580029264384,-8.717961009764574,78.1
40.62581834592374,-8.717848571842229,78.1
40.625836399203585,-8.717736133889606,78.1
40.62585445248337,-8.717623695906708,78.1
40.62587250576309,-8.717511257893534,78.1
40.625890559042766,-8.717398819850088,78.1
40.62590861232238,-8.717286381776361,78.1
40.62592666560194,-8.71717394367236,78.1
40.62594471888143,-8.717061505538087,78.1
40.62596277216086,-8.716949067373536,78.1
40.625980825440244,-8.71683662917871,78.1
40.62599887871958,-8.716724190953604,78.1
40.62601693199884,-8.716611752698226,78.1
40.62603498527807,-8.716499314412568,78.1
40.626053038557224,-8.716386876096635,78.1
40.62607109183632,-8.716274437750428,78.1
40.62608914511537,-8.716161999373947,78.1
40.626107198394365,-8.716049560967187,78.1
40.6261252516733,-8.715937122530153,78.1
40.62614330495217,-8.715824684062845,78.1
40.62616135823099,-8.715712245565259,78.1
40.626179411509746,-8.715599807037398,78.1
40.62619746478845,-8.71548736847926,78.1
40.626215518067106,-8.715374929890844,78.1
40.62623357134569,-8.715262491272153,78.1
40.62625162462423,-8.715150052623187,78.1
40.62626967790271,-8.715037613943943,78.1
40.62628773118114,-8.714925175234423,78.1
40.626305784459504,-8.714812736494627,78.1
40.626323837737814,-8.714700297724555,78.1
40.626341891016075,-8.714587858924206,78.1
40.62635994429427,-8.714475420093581,78.1
40.62637799757241,-8.714362981232677,78.1
40.626396050850495,-8.7142505423415,78.1
40.62641410412853,-8.714138103420046,78.1
40.62643215740649,-8.714025664468315,78.1
40.6264502106844,-8.713913225486309,78.1
40.62646826396226,-8.713800786474028,78.1
40.62648631724006,-8.713688347431466,78.1
40.6265043705178,-8.713575908358626,78.1
40.626522423795485,-8.71346346925551,78.1
40.62654047707312,-8.713351030122118,78.1
40.626558530350685,-8.713238590958447,78.1
40.62657658362821,-8.7131261517645,78.1
40.626594636905665,-8.713013712540278,78.1
40.62661269018307,-8.71290127328578,78.1
40.626630743460424,-8.712788834001003,78.1
40.62664879673771,-8.712676394685952,78.1
40.62666685001494,-8.712563955340626,78.1
40.62668490329212,-8.71245151596502,78.1
40.62670295656925,-8.712339076559138,78.1
40.626721009846314,-8.712226637122981,78.1
40.626739063123324,-8.712114197656545,78.1
40.62675711640026,-8.71200175815983,78.1
40.62677516967717,-8.711889318632839,78.1
40.626793222954,-8.711776879075572,78.1
40.62681127623079,-8.711664439488029,78.1
40.626829329507515,-8.711551999870204,78.1
40.626847382784185,-8.711439560222107,78.1
40.62686543606079,-8.71132712054373,78.1
40.626883489337345,-8.711214680835075,78.1
40.62690154261384,-8.711102241096148,78.1
40.62691959589028,-8.71098980132694,78.1
40.62693764916667,-8.710877361527453,78.1
40.62695570244299,-8.71076492169769,78.1
40.62697375571927,-8.710652481837649,78.1
40.626991808995484,-8.710540041947333,78.1
40.62700986227164,-8.710427602026739,78.1
40.62702791554775,-8.710315162075865,78.1
40.62704596882379,-8.710202722094715,78.1
40.62706402209978,-8.710090282083286,78.1
40.62708207537571,-8.70997784204158,78.1
40.627100128651584,-8.7098654019696,78.1
40.627118181927415,-8.70975296186734,78.1
40.62713623520317,-8.709640521734803,78.1
40.62715428847886,-8.709528081571989,78.1
40.627172341754516,-8.709415641378895,78.1
40.62719039503011,-8.709303201155524,78.1
40.62720844830565,-8.709190760901874,78.1
40.627226501581134,-8.70907832061795,78.1
40.62724455485655,-8.708965880303746,78.1
40.62726260813192,-8.708853439959263,78.1
40.62728066140723,-8.708740999584505,78.1
40.62729871468249,-8.708628559179466,78.1
40.62731676795768,-8.70851611874415,78.1
40.627334821232814,-8.708403678278556,78.1
40.627352874507885,-8.708291237782683,78.1
